id,name,description,price,stock,category,tags
16860,Adcos Aqua Fluid Toning Facial Sunscreen SPF 50 50ml,,,3,Hair Care,
16865,Manga Rosa e Água de Coco,,6.00,5,Fragrance,Natura
16868,Amora Vermelha e Jabuticaba 200ml,,6.00,3,Fragrance,Natura
16871,Style Brilliant Gloss Spray (N.110) 500ml,,11.00,2,Hair Care,
16874,,FOR SALON,0,0,Facial Care,Fler
16877,Passion Fruit Diffuser - EKOS,,8.00,2,Fragrance,Natura
16880,Maracujá exfoliating shower gel - EKOS,,6.00,5,Body Care,Natura
16884,Natura Body Moisturizer My First Mood 125 ml,,6.00,5,Body Care,
16887,Revival System Ion-Up Facial Serum 50ml,,15.00,5,Skin Care,Flér
16890,Redux Intensive Nano Cream Lipo Reducer 130g Home Care Fler,,15.00,5,Skin Care,
16893,Hair Nanotron Mask Professional Hair Restructuring Cream 500ml,,0,0,Hair Care,Exo
16896,Framesi Morphosis Passion Blonde Shampoo,,11.00,3,Hair Care,
16899,Fibre Clinix Tribond Fortify Conditioner,,11.00,0,Hair Care,Schwarzkopf
16902,Fibre Clinix Volumize Bodifying Spray,,11.00,1,Hair Care,
16906,Professional Fibre Clinix Volumize Conditioner,,11.00,1,Hair Care,
16909,Finisher Bio Extratus Blond De-yellowing 200g,,0,0,Skin Care,
16912,Leave-in On Repair Finisher Exoplasty Hair Treatment Repairing 140ml - Exo Hair,,0,0,Hair Care,
16915,Care Tinta Color Shampoo 250ml,,11.00,1,Hair Care,Keune
16918,Care Tinta Color Conditioner 250ml,,11.00,1,Hair Care,Keune
,care satin oil ( mask ),,15.00,4,,
,Keune Care Satin-oil (Oil Milk),"A deeply nourishing premium cream specifically designed for coarse or frizzy hair, leaving it feeling soft and glossy. Fiber sealing technology smooths the hair cuticle to give the appearance of a mirror-like shine and adds a protective layer, to help shield hair from further damage. Leaves the hair up to 91%* more conditioned and up to twice as smooth.

*Based on instrumental tests performed on damaged hair.

<b>INGREDIENTS</b> 
Aqua (Water), Dipropylene Glycol, Cetearyl Alcohol, Polyquaternium-37, Propylene Glycol Dicaprylate/Dicaprate, Polysilicone-29, PEG-40 Hydrogenated Castor Oil, Panthenol, Sodium Benzoate, Citric Acid, PPG-1 Trideceth-6, Parfum (Fragrance), Saccharomyces/Magnesium Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Zinc Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment. 

Disclaimer: product information such as ingredients may change. Always read the packaging or instructions for use before using the product.",11.00,2,Hair Care,Keune
